id,keyword
144,Bkav
145,CMC Cyber Security
146,diễn đàn
147,NCSC
148,VNISA
149,VINASA
150,CGI
151,Cloudflare
152,wordpress
153,chuyên gia bảo mật
154,nhà cung cấp dịch vụ
155,doanh nghiệp triển khai
156,cơ quan giám sát
157,công dụng nổi trội
158,proxy
159,DDoS
160,website
161,download
162,app
163,gmail
164,instagram
165,window
166,app store
167,CH play
168,hack
169,Robot
170,Word
171,5G
172,Diệt virus
173,Bán hàng trên mạng
174,Cốc cốc
175,Mua online
176,Microsoft teams
177,"Học qua mạng, học từ xa"
178,Không gian mạng
179,Cách mạng 4.0
180,Từ xa
181,5G
182,Teams
183,MOS
184,Mua sắm online
185,Cách mạng công nghệ
186,Shop online
187,Báo điện tử
188,Chrome
189,Photoshop
190,Máy tính bảng
191,mail
192,livestream
193,shopee
194,lazada
195,zalo
196,windows
197,camera
198,laptop
199,page
200,săn sales
201,forum
202,giá điện thoại
203,giá laptop
204,bán hàng online
205,freeship
206,email
207,google drive
208,dịch vụ công
209,Internet Banking
210,Shopee Seller
211,Lazada Seller
212,Dropshipping
213,Baemin
214,Twitter
215,Giao hàng nhanh
216,Giao hàng tiết kiện
217,J&T Express
218,Facetime
219,Bluezone
220,Khai báo y tế điện tử
221,"Sheet, Docs"
222,Accessibility
223,Dữ liệu
224,Review công nghệ
225,Dịch vụ công số
226,Chứng khoán
227,Data
228,shoppe
229,lazada
230,Ms teams
231,mua hàng trực tuyến
232,mua qua mạng
233,hack nick
234,Vietnamobile
235,kỹ thuật số
236,đài truyền hình
237,3G - 4G
238,lưu lượng
239,vệ tinh
240,điện tử
241,Online
242,MyTV
243,K+
244,smartphone
245,Xiaomi
246,Huawei
247,Lenovo
248,Liên quân mobile
249,PUBG
250,Freefire
251,Lửa chùa
252,Tốc chiến
253,Wattpad
254,Tiki
255,bình luận
256,comment
257,post
258,mạng đi động
259,review
260,acc
261,số tài khoản
262,cài đặt
263,Gojek
264,Be
265,Fifa online
266,Dota
267,Onenote
268,Mircosoft Access
269,Duolingo
270,FPT Play
271,Vieon
272,Fahasa
273,Đầu tư
274,Nợ xấu
275,Lạm phát
276,Tín dụng
277,GDP
278,Trực page
279,Admin/Ad
280,Unikey
281,Reel
282,Telegram
283,Notion
284,Social Media
285,Duolingo
286,WPS Office
287,Busmap
288,Vlive/V-live
289,Google Calender / GgCalender
290,Android
291,Tab/Tabs
292,Đa nhiệm
293,QR
294,Giao dịch điện tử
295,Tài khoản số đẹp
296,Mở tài khoản số
297,Hóa đơn số
298,Google Meets
299,Google Classroom
300,Hangout
301,Scan
302,PDF
303,Camscannner/ Easy Scanner
304,Testportal/ Anti Testportal
305,Sổ sức khỏe điện tử
306,Office 365
307,Tăng năng suất cây trồng
308,Chuẩn hóa quy trình trồng nông sản
309,Canh tác thông minh
310,Chuyển đổi số nông nghiệp
311,Chế phẩm sinh học
312,Dịch vụ nông nghiệp
313,trồng rau công nghệ cao
314,Vietgap
315,sản xuất hữu cơ
316,Trello
317,Evernote
318,Google Keep
319,Google Calendar
320,DropBox
321,Google Fit
322,Forest: Stay Focused
323,Asana
324,Slack
325,Hitask
326,Todoist
327,Habitica
328,VTV Go
329,Amazon Prime Video
330,Disney+
331,IMDb
332,Google Play Books
333,Audible
334,Paramount+
335,chăm sóc khách hàng online
336,online advertising
337,travel booking
338,sàn thương mại điện tử
339,cài Win
340,Micro:bit
341,Scratch
342,Site map
343,traffic (SEO)
344,Canva
345,Slide
346,template
347,animation
348,layout/bố cục
349,hiệu ứng
350,Xử lý văn bản
351,KPI
352,Nhập dữ liệu
353,google form
354,Android
355,KOC
356,KOL
357,Deal ngập tràn
358,Báo điện tử
359,book xe
360,order
361,Microsoft
362,An toàn thông tin
363,chơi game
364,drive
365,Discord
366,cộng đồng mạng
367,hệ điều hành
368,giao diện
369,cấu hình
370,tool/công cụ
371,CH play
372,voucher
373,rep/react/dowload/tải xuống
374,Tiktok/Youtube/Insta/...
375,bluetooth/không dây/ wireless
376,thu thập dữ liệu
377,truy cập
378,thu hồi tên miền
379,khắc phục sự cố mạng
380,thẩm định an ninh mạng
381,xuất dữ liệu
382,influencer
383,esport
384,extention
385,Ads
386,feedback
387,Photoshop
388,power bi
389,meet
390,cloud
391,drive
392,"Tiktok, Youtube"
393,Số hóa
394,Chuyển đổi số
395,Thương mại điện tử
396,outlook
397,Code
398,Firefox
399,Thanh toán quốc tế
400,Digital marketing
401,Gmail
402,virus
403,hack
404,lừa đảo online
405,PC
406,Tiền điện tử
407,Lập trình
408,NFC
409,trend
410,blog
411,từ khóa
412,Illustrator
413,content writer
414,telesales
415,reviewer
416,bảo mật
417,hacker
418,content marketing
419,designer
420,Online Marketing
421,Performance Marketing
422,Chạy quảng cáo
423,Google Ads
424,Facebook Ads
425,Keyword Manager
426,Google Analytics
427,Data Analyst
428,Data Engineer
429,Blockchain
430,Ebay
431,Affiliate
432,MMO
433,Tiktok Shop
434,Bitcoin
435,Python
436,Amazon
437,Esty
438,metaverse
439,Start-up Tech
440,GPS
441,Vnpay
442,zalopay
443,lừa đảo mạng
444,tống tiền mạng
445,PC covid
446,Ncovi
447,Thầy thuốc đồng hành
448,ebanking
449,tự động
450,remote
451,airpay
452,thanh toán tự động
453,ví điện tử
454,sàn giao dịch
455,hệ thống
456,quản lý thông tin
457,Quét mã
458,QR code
459,Baseus
460,Ahamove
461,Lalamove
462,Spotify
463,Netflix
464,WeTV
465,IQIYI
466,Genshin Impact
467,VN Pay
468,ShopeePay
469,BA/DA
470,thiết kế
471,edit
472,Cake
473,Grab Food
474,streaming
475,Chạy ads
476,Pentool
477,Tor Browser
478,Figma
479,Google Data Studio
480,SEM
481,Pinterest
482,Behance
483,Taobao
484,Douyin
485,Clipchamp
486,WinRaR
487,Landing page
488,Tỷ giá ngoại tệ
489,Sàn chứng khoán
490,Bất động sản
491,Thuế
492,Cổ phần
493,Adobe Premier
494,Capcut
495,Viva Video
496,Lightroom
497,Xingtu
498,Snapseed
499,VSCO
500,Analog
501,Blender
502,Mailchimp
503,Clean My Mac
504,Maclife
505,Team Viewer
506,Bluestacks
507,Ladipage
508,CCleaner
509,AVG
510,Foodie
511,PicsArt
512,Gửi tiết kiệm online
513,Mã Pin
514,Hạn mức giao dịch
515,Rút tiền ATM
516,Vay trực tuyến
517,School Manager
518,PDF Reader
519,Coursera
520,Geometer’s Sketchpad
521,Kahoot
522,Quizizz
523,Công nghệ nano
524,Công nghệ vi sinh
525,Công nghệ vật liệu mới
526,Quản lý dịch hại tổng hợp IPM
527,Canh tác lúa cải tiến SRI
528,nhà màng
529,nông nghiệp công nghệ cao
530,Tưới Tự Động
531,giám sát bằng điện thoại
532,cảm biến
533,máy gieo hạt
534,hệ thống nhà chăn nuôi
535,bảo mật dữ liệu
536,đồ hoạ 3D
537,crack
538,gen ảnh
539,điện toán đám mây
540,truy xuất dữ liệu
541,sao lưu dữ liệu
542,bảo mật thanh toán
543,phần mềm diệt virus miễn phí
544,dữ liệu cá nhân
545,đe doạ an ninh mang
546,tổng đài viên
547,online food ordering
548,e-book
549,international shipping
550,cài Word Excel PowerPoint
551,BaseCamp
552,Workflow (cái này là phần mềm trên quản lý quy trình làm việc hay phần mềm trên ios ạ?)
553,Facework
554,Base E-Hiring
555,Microsoft Project
556,Ae
557,Autocad
558,Id
559,Adobe Indesign
560,Adobe Photoshop
561,Adobe Illustrator
562,CorelDraw
563,Attachment
564,input
565,output
566,report
567,Sơ đồ gantt (cái này nếu cụ thể hơn ví dụ như vẽ sơ đồ Gantt bằng Excel thì tốt hơn ạ)
568,tester
569,dev
570,Meta
571,bug
572,NFT
573,Liên Minh Huyền Thoại
574,đồ hoạ
575,coding
576,virus
577,python/java/c++/ ...
578,mã pin/mật khẩu
579,nick/mất nick
580,email
581,Canva
582,developer/dev/code/coder
583,ngôn ngữ lập trình
584,cập nhật/update/upgrade/nâng câp
585,cấp quyền
586,link
587,tua/ tua nhanh
588,QR code/ quét mã
589,an ninh mạng
590,cơ sở hạ tầng không gian mạng
591,cuộc tấn công mạng
592,lỗ hổng bảo mật
593,hệ thống truyền dẫn quốc gia
594,hệ thống truyền dẫn kết nối quốc tế
595,hệ thống vệ tinh
596,hệ thống các dịch vụ lõi
597,hệ thống phân luồng và điều hướng
598,hệ thống phân giải tên miền
599,hệ thống gắn nhãn website tín nhiệm mạng
600,hệ thống cảnh báo
601,hệ thống rà soát lỗi bảo mật
602,hệ thống phân tích nguy cơ tấn công mạng
603,hệ thống chứng thực quốc gia
604,dịch vụ trực tuyến
605,cơ sở hạ tầng công nghệ thông tin
606,cổng kết nối mạng quốc tế
607,tội phạm mạng công nghệ cao
608,nguy cơ đe dọa an ninh mạng
609,C++
610,javascript
611,firewall
612,McAfee
613,anti-virus
614,VPN
615,crypto
616,token
617,trí tuệ nhân tạo
618,ngôn ngữ lập trình
619,java
620,data analyst
621,Linux
622,Mac adress
623,GPU
624,CPU
625,"Ổ cứng SSD, HDD"
626,Bo mạch chủ
627,Main
628,Chip
629,Ram
630,"C, Python"
631,Điện toán đám mây
632,Big data
633,An ninh mạng
634,Database: Cơ sở dữ liệu
635,Thuật toán
636,Băng thông
637,crypto
638,IoT
639,mã hóa
640,SQL
641,domain
642,Onedrive
643,Stack
644,Cyber Bullying
645,Web3
646,Máy học
647,HTML
648,CRM
649,Data Visualization
650,Paypal
651,Lập trình
652,Internet vạn vật
653,Airpods
654,Airtag
655,Apple watch
656,Meta (tên mới của Facebook)
657,STEAM (cho giáo viên)
658,STEM (cho giáo viên)
659,Hệ thống 1 cửa
660,dịch vụ công trực tuyến
661,analysis
662,data collection
663,tech
664,CNTT
665,C/C++
666,Visualize data
667,Data Science
668,Visualize
669,trực quan hóa
670,trực quan hóa dữ liệu
671,ngân hàng số
672,stackoverflow
673,Binance
674,Coin
675,host
676,cấu hình
677,"github
"
678,"ide
"
679,Database
680,Module
681,String
682,Trace
683,services
684,Slack
685,Bán dẫn
686,extension
687,Web application Firewall
688,Firewall UTM
689,Quest NetVault
690,Extended Detection and Response (XDR)
691,Network Access Control (NAC)
692,TensorFlow
693,Microsoft Security Essentials
694,Cascading Style Sheets (CSS)
695,VNACCS/VCIS
696,Customer Relationship Management (CRM)
697,Anti - Malware
698,Trái phiếu
699,Chứng chỉ quỹ
700,Fintech
701,Ủy thác đầu tư
702,Tableau
703,Fast Accounting
704,ERP
705,Jira
706,POS
707,eKYC
708,SPSS
709,Looker
710,OKR
711,Crystal Report
712,MISA
713,HRM
714,Email tự động
715,FE CREDIT
716,Home Credit
717,Khởi tạo khoản vay
718,Smart banking
719,OTP
720,Xmind
721,E-learning
722,iA Writer
723,Edraw Mindmap
724,Power Platform
725,Tự động hóa
726,Phun thuốc tự động
727,Bón phân tự động
728,Gieo hạt tự động
729,Giám sát cây trồng tự động
730,Giám sát cây trồng trên không
731,máy nông nghiệp
732,máy bay nông nghiệp
733,quản lý sản xuất
734,nhật ký nông hộ
735,kiểm nghiệm
736,Trực quan hóa/visualize
737,R
738,Eviews
739,Orange
740,Knime
741,Stata
742,Amos
743,Data Mining/ Khai thác dữ liệu
744,Turnitin
745,VNDirect/vnChart
746,HrOnline
747,Viindoo
748,module
749,tổng đài CSKH tự động
750,ride sharing
751,software store
752,online auctioning
753,phần mềm bản quyền
754,chuyển hóa dữ liệu
755,phân tích các chỉ số
756,thống kê số liệu
757,giám sát công việc
758,điều chỉnh kế hoạch
759,cập nhật insights
760,autodesk
761,3DS Max
762,SketchUp
763,storyboard
764,texture
765,Báo cáo tài chính
766,Bravo
767,Kiểm tra tác vụ
768,Quản trị thông tin
769,thu thập số liệu
770,E-commerce
771,quan sát toàn cảnh
772,cuộc cách mạng 4.0
773,công nghệ cao
774,tự lái
775,nhận diện khuôn mặt
776,cơ sở dữ liệu
777,thế giới ảo
778,Kiểm duyệt nội dung
779,trí thông minh tăng cường
780,quản trị cơ sở dữ liệu
781,kinh tế số
782,Bitcoin /tiền ảo
783,kính ảo
784,3D/4D/...
785,neuron/dataverse/database/...
786,bug/debug
787,Mechine Learning/ Mô hình máy học
788,series
789,không gian ảo
790,tự động/automatic
791,trích xuất
792,số hóa/digital
793,tên miền
794,hàm/ fuction/ built-in fuction
795,csv
796,hoàn đơn
797,thông tin điện tử
798,hệ thống trí tuệ nhân tạo
799,cơ sở dữ liệu quốc gia
800,Chính phủ
801,cách mạng công nghiệp 4.0
802,Machine Learning
803,kỷ nguyên số
804,hội nhập quốc tế
805,an ninh quốc gia
806,quyền và lợi ích hợp pháp của tổ chức
807,mạng toàn cầu
808,tài nguyên thông tin
809,toàn cầu hóa
810,start up công nghệ
811,Digital Transformation
812,phát minh công nghệ
813,tự dộng hóa
814,siêu máy tính
815,AR
816,năng lượng tái tạo
817,công nghệ lượng tử
818,áp dụng công nghệ 4.0
819,Data Mining
820,ứng dụng công nghệ
821,Deep Learning
822,Transfer Learning
823,Linear Regression
824,Logistic Regression
825,Confusion Matrix
826,AUC curve
827,ROC curve
828,NLP
829,Neuron network
830,"Git, Github"
831,Data Structure
832,predictive analytics
833,Artificial intelligence
834,Dữ liệu ngoại lai
835,Điện toán lượng tử
836,Công nghệ AR
837,AI
838,Machine learning
839,Native
840,"AR, VR"
841,Cookies
842,Deep learning
843,"Git, Github"
844,Analyst
845,Data Architect
846,Mining
847,Token
848,Mã hóa
849,CSV
850,Firewall
851,malware
852,Tự lái
853,Công nghệ VR
854,cookie
855,reactive machine
856,computer science
857,normalization
858,tokenization
859,C&C
860,engine
861,algorithm
862,Bloomberg
863,FTX
864,Gamify
865,Blockfi
866,Sandbox
867,Wepay
868,Backend Developer
869,Dataverse
870,Atificial Intelligence
871,DA
872,Data Driven
873,Digital
874,MOOC
875,OSI
876,Open source Intinitive
877,Chính phủ số
878,icloud
879,Khoa học dữ liệu
880,Khoa học máy tính
881,datalake
882,Phân tích dữ liệu
883,Data analyst / DA
884,Business analyst / BA
885,software
886,hardware
887,Bạo lực mạng
888,Hồ dữ liệu
889,Bảo mật thông tin
890,gamify
891,Hoạt động tài chính
892,Dòng tiền
893,Nguồn vốn
894,Chính sách
895,API
896,pseudocode
897,Dockerfile
898,Cluster
899,nodes
900,pipeline
901,quản trị mạng
902,CCNP
903,Chatbots
904,P2P payment
905,Thực té ảo VR
906,Thực tế tăng cường AR
907,Presentation Translator
908,Ai assistant
909,Dupli Checker/ Copy leaks/ Paper Rater (check đạo văn)
910,AGTECH
911,Cảm biến
912,Máy bay không người lái
913,Học máy
914,Truy xuất nguồn gốc
915,kiểm soát vi khí hậu
916,công nghệ AI
917,hệ thống thiết cảm tự động
918,drone
919,CNC
920,số hóa sản xuất
921,Clustering
922,Chatbot
923,Computer vision
924,Neural network
925,Unsupervised learning
926,Reinforcement learning
927,Overfitting
928,Ransomware
929,Trojan
930,Deep fake
931,cryptocurrency
932,streaming media
933,Microsoft Store
934,hệ thống quản trị
935,sở hữu trí tuệ
936,nền kinh tế toàn cầu
937,công nghệ thông tin và truyền thông
938,kỷ nguyên kỹ thuật số
939,Logistic
940,Scribble Text
941,pixel
942,Frame
943,layer
944,Typographic
945,Phân tích số liệu
946,hồ sơ điện tử
947,phân loại dữ liệu
948,Excel/Word/Powerpoint
949,Google Docs/Google Sheet/ Google Slide
950,bộ nhớ
951,dung lượng
952,like/thích/share/chia sẻ/comment/ib
953,mật mã vân tay
954,mua hàng online
955,nhãn dán
956,quay video
957,đăng ký online
958,sóng/ mất sóng
959,VTV2
960,web
961,đánh giá 5 sao
962,đánh máy 10 ngón
963,copy
964,lưu danh bạ
965,gửi tin nhắn
966,flash
967,Nikon
968,Pentax
969,Slidesgo
970,Kodak
971,Canon
972,fujifilm
973,Instax
974,đăng ký khám chữa bệnh online
975,radar/ ra đa
976,bộ đàm
977,appstore
978,Chrome
979,free fire
980,Kinh doanh online
981,liên quân
982,microsoft 365
983,Microsoft Access
984,Post bài
985,reels
986,Uber
987,shopee live
988,Grab Express
989,Be Express
990,Tiki now
991,mạng LAN
992,Kết nối không dây
993,Bộ thông tin và truyền thông
994,Email Marketing
995,sổ khám sức khỏe điện tử
996,thẻ khám chữa bệnh (KCB) điện tử
997,cơ sở dữ liệu dân cư
998,chữ ký số
999,định danh điện tử
1000,docs/Google Docs
1001,Sheet/ Google Sheet
1002,PPT
1003,bảo mật 2 lớp
1004,Đồng bộ điện thoại
1005,github
1006,QR
1007,sao lưu dữ liệu
1008,soda
1009,tiết kiệm online
1010,vivavideo
1011,xóa phông
1012,Ehome
1013,Modem
1014,Macros excel
1015,VBA excel
1016,Visio
1017,Command prompt
1018,Wireframes
1019,Mockup
1020,Prototype
1021,Hue
1022,ISO
1023,máy đếm bước chân
1024,máy đo nồng độ oxi
1025,máy đo nồng độ cồn
1026,số hóa hồ sơ
1027,máy bay trinh sát
1028,IP
1029,HHD
1030,javascrip
1031,tiền điện tử
1032,HLML
1033,tiện ích mở rộng/Extension
1034,debug
1035,Gateway
1036,Bộ vi xử lý
1037,mạng nội bộ
1038,cookies
1039,Mã nguồn
1040,coder
1041,bộ nhớ đệm
1042,nhúng
1043,ASP
1044,kính 3D
1045,stackoverflow
1046,Rstudio
1047,định vị
1048,dashboard
1049,visa card
1050,datacamp
1051,dataquest
1052,jupyter notebook
1053,anaconda
1054,Notepad
1055,Sublime text
1056,ATO
1057,hubspot
1058,Pie
1059,Gologin
1060,MySQL
1061,MS Access
1062,Visual Studio
1063,DPI
1064,PPI
1065,DSLR
1066,EXIF
1067,điện tâm đồ/ Electrocardiograph
1068,gia tốc kế/ Accelerometer
1069,mã số định danh y tế
1070,thiết bị y tế di động
1071,tấn công mạng
1072,Binh chủng Thông tin liên lạc
1073,thiết bị không người lái dưới nước.
1074,Decentraland
1075,Docker
1076,Cấu trúc dữ liệu và giải thuật
1077,kỹ năng lập trình
1078,Supervised Learning
1079,Neutral Network
1080,Mạng thần kinh nhân tạo
1081,Multi-Task Learning
1082,điện toán tự động
1083,Kỹ thuật tìm kiếm heuristic
1084,Data Architect
1085,Data warehouse
1086,Data mart
1087,Data pipeline
1088,Data integration
1089,Data ingestion
1090,Ensemble learning
1091,Feature selection
1092,Dimension reduction
1093,Pattern discovery
1094,Association rule
1095,Classification
1096,Outlier analysis
1097,Pattern evalution
1098,Pattern selection
1099,Pattern interpretation
1100,OLAP
1101,Cryptography
1102,Kiểm thử phần mềm
1103,Cloud computing
1104,Solution architect
1105,Encryption
1106,Data modeling
1107,ERD
1108,Garbage collector
1109,Software framework
1110,Recurrent Neural Network
1111,Convolution Neural Network
1112,Frontend Developer
1113,Source Control
1114,Object - oriented programming
1115,Computer networks
1116,Virtualization
1117,Hyperparameter optimization
1118,Regularization
1119,Outlier detection
1120,Semi - supervised learning
1121,Decision tree
1122,Support - vector machines
1123,Bayesian networks
1124,Genetic algorithms
1125,Artificial neural networks
1126,Regression analysis
1127,SuperWorld
1128,proptech
1129,Multilogin
1130,Recommender System
1131,Speech Recognizer
1132,Machine reading comprehension
1133,Apache Cassandra
1134,Correlation heatmap
1135,CTA (Computed Tomography Angiography - chụp cắt lớp vi tính)
1136,Robotic surgery
1137,Virtual nursing assistant
1138,cục an toàn thông tin
1139,SOC
1140,Trung tâm Giám sát an toàn không gian mạng quốc gia
1141,robot tác chiến
1142,vệ tinh gián điệp
